"Danone Danerolles Tumma Sämpylä 310g",5410146413490
"Danone Danerolles vaalea sämpylä 330g",5410146413483
"Pirkka voicroissant 6kpl/330g",6410405110787
"Pirkka vehnäpulla 14kpl/700g",6410405052407
"Myllyn Paras Korvapuusti 560 g pakastepulla",6417700060960
"Pirkka valkosipulivoipatonki 175g",6410402024247
"Pirkka yrttivoipatonki 175g",6410402024261
"Myllyn Paras Vierasvara Kypsä Karjalanpiirakka 480 g kypsäpakaste",6417700067679
"Myllärin Luomu Riisipiirakka PAKASTE",6415000192015
"Sunnuntai piirakkataikina 400 g",6411200056874
"Pirkka macaron mantelileivonnainen 12kpl/125g",6410405110763
"Pirkka miniéclair tuulihattu 12kpl/200g",6410405075239
"Pirkka mud cake 400g",6410405095831
"Pirkka prinsessakakku 500g",6410405106148
"Pirkka suklaakakku 550g",6410402023981
"Pirkka tuulihatut 20kpl/250g",6410402013364
"Almondy DAIM Mousse 400 g",7312930002935
"Almondy gevalia cappuccino moussekakku 400g",7312930004144
"Almondy Mantelikakku Daim 400 g",7312930000382
"Almondy Mantelikakku Toblerone 400 g",7312930002201
"Almondy Mantelikakku Toffee-maapähkinä 450 g",7312930000481
"Almondy Marenkikakku Marabou 400 g",7312930000955
"Almondy philadelphia sitruuna juustokakku 410g",7312930003291
"Almondy sitruuna moussekakku 400g",7312930003406
"Almondy suklaa moussekakku 400g",7312930003437
"Almondy vadelma-salmiakki moussekakku 400g",7312930003451
"Frödinge Kinuskikakku 565g",7310890602585
"Frödinge Mansikkakakku 500 g",7310890601885
"Frödinge mud cake deluxe 400g pakaste suklaa kakku",7310890205182
"Frödinge Mud Cake Ice Cream 380g",7310890204291
"Frödinge mud cake suklaakakku 440g vadelmaunelma",7310890204383
"Frödinge Mud cake 400g kostea suklaakakku",7310890203607
"Frödinge Prinsessakakku 480 g",7310890601687
"Frödinge Prinsessaleivos 4 x 70g",7310890303017
"Pirkka cocktail liha-riisipasteijoita 14kpl/490g",6410402005093
"Pirkka cocktailpiirakka 15kpl/630g paistovalmis raakapakaste",6410402001422
"Pirkka juustovoipatonki 175g",6410402024223
"Pirkka karjalanpiirakat 6kpl/330g",6410405052933
"Pirkka muna-riisipasteija14kpl/490g",6410402005116
"Pirkka parhaat peruna-smetanapiirakka 6 kpl/330g",6410405073822
"Pirkka riisipiirakka 9kpl/810g paistovalmis raakapakaste",6410402028153
"ES yrttipatonki 2x175g",8717399858397
"Euro Shopper riisipiirakka 12 kpl / 1020 g",6408640913539
"Euro Shopper valkosipulipatonki 2x175g",8717399858410
"Fazer Vuoksen piirakka 10 kpl /  500 g",6410345915008
"Gourmet Snacks Lohi-kasvispaistos 323g pakaste",6430026138540
"Gourmet Snacks Original minipaistoslajitelma 512 g",6430026138014
"Gourmet Snacks 300g Tuorejuustotäytteiset minipaistokset Kinkku kalkkuna",6430026138564
"Kanaki fetajuustopiirakka 400g perint.",5201063053100
"Kanaki feta-pinaattipiirakka 400g",5201063053117
"Kotiuunin juhlapiirakka 15kpl 675g",6437005064210
"Moilas cocktailriisipiirakka 30kpl kypsä pakaste",6431901640417
"Moilas Cocktail-riisipiirakka 30kpl paistovalmis pakaste",6431901650416
"Myllyn Paras riisi-ohrapiirakka 560g pa",6417700061028
"VAASAN KOTIUUNIN Kinkkupasteija 9 x 50g",6410500061069
"VAASAN KOTIUUNIN Lihapasteija 10 x 50g",6410500062028
